name,Price,kms_driven,fuel_type
Maruti Suzuki Zen,48000,60000,Petrol
Maruti Suzuki Ciaz,650000,50000,Petrol
Hyundai Eon Era,190000,39700,Petrol
Hyundai Elantra 1.8,500000,65000,Petrol
Maruti Suzuki Swift,270000,67000,Diesel
Maruti Suzuki Zen,125000,46000,Petrol
Hyundai Eon Era,188000,38000,Petrol
Hyundai Grand i10,380000,27000,Petrol
Hyundai Verna Fluidic,365000,43000,Diesel
Ford EcoSport Trend,465000,47000,Petrol
Hyundai i20 Magna,240000,42000,Petrol
Chevrolet Beat Diesel,179999,19336,Diesel
Tata Indica eV2,140000,60105,Diesel
Jaguar XF 2.2,2190000,29000,Diesel
Audi Q5 2.0,2390000,34000,Diesel
BMW 3 Series,1075000,35000,Diesel
Maruti Suzuki Swift,475000,22000,Petrol
BMW X1 sDrive20d,1025000,41000,Diesel
Maruti Suzuki S,615000,21000,Diesel
Maruti Suzuki Ertiga,475000,48000,Diesel
Maruti Suzuki Alto,270000,38000,Petrol
Honda City SV,475000,34000,Diesel
Volkswagen Vento Comfortline,240000,45933,Petrol
Honda City 1.5,120000,68000,Petrol
Audi A4 2.0,1900000,44000,Diesel
Mahindra KUV100,360000,35000,Diesel
Tata Zest XE,450000,102563,Diesel
Mahindra XUV500 W8,900000,28600,Diesel
Maruti Suzuki Swift,650000,41800,Diesel
Tata Sumo Gold,275000,116000,Diesel
Maruti Suzuki Swift,210000,59000,Petrol
Mahindra Scorpio 2.6,175000,58000,Diesel
Maruti Suzuki Omni,85000,45000,Petrol
Mitsubishi Pajero Sport,1490000,42590,Diesel
Renault Duster,800000,7400,Diesel
Volkswagen Jetta Comfortline,450000,54500,Diesel
Maruti Suzuki Ertiga,1000000,200000,Diesel
Audi A4 2.0,1510000,27000,Diesel
Volvo S80 Summum,1850000,42000,Diesel
Toyota Corolla Altis,790000,29000,Petrol
Mitsubishi Pajero Sport,1725000,37000,Diesel
Chevrolet Beat LT,135000,36000,Petrol
BMW X1,1000000,34000,Diesel
Datsun Redi GO,299999,7000,Petrol
Mercedes Benz C,1225000,76000,Diesel
Mahindra Scorpio SLX,175000,60000,Diesel
Volkswagen Vento Comfortline,200000,95000,Diesel
Tata Indigo CS,270000,50000,Diesel
Ford Figo Petrol,525000,0,Petrol
Honda City ZX,180000,50000,Petrol
Maruti Suzuki Wagon,140000,68000,Petrol
Ford EcoSport Trend,400000,16000,Petrol
Maruti Suzuki Swift,499000,51000,Diesel
Maruti Suzuki Omni,85000,56000,Petrol
Maruti Suzuki Zen,70000,100000,Petrol
Renault Duster RxL,550000,36000,Petrol
Maruti Suzuki Swift,370000,11523,Petrol
Maruti Suzuki Baleno,690000,1000,Petrol
Honda WR V,250000,60000,Petrol
Tata Indigo CS,110000,85000,Diesel
Renault Duster 110,490000,38600,Diesel
Mahindra Scorpio LX,320000,95500,Diesel
Maruti Suzuki Zen,68000,56000,Petrol
Maruti Suzuki Wagon,130000,37458,Petrol
Maruti Suzuki SX4,970000,85960,Diesel
Audi A3 Cabriolet,3100000,12516,Petrol
Hyundai Eon D,280000,35000,Petrol
Maruti Suzuki Zen,125000,0,Petrol
Mahindra Scorpio SLX,285000,80000,Diesel
Hyundai Santro AE,165000,45000,Petrol
Maruti Suzuki Swift,250000,51000,Diesel
Mahindra Scorpio S4,865000,30000,Diesel
Mahindra Xylo D2,390000,48000,Diesel
Hyundai Santro,60000,51000,Petrol
Chevrolet Beat LT,215000,90000,Diesel
Maruti Suzuki Swift,475000,43000,Diesel
Mahindra XUV500 W8,899000,53000,Diesel
Toyota Fortuner 3.0,1499000,97000,Diesel
Maruti Suzuki Alto,240000,20000,Petrol
Hyundai Getz GLE,99000,55000,Petrol
Maruti Suzuki Swift,260000,120000,Diesel
Hyundai Creta 1.6,1200000,0,Petrol
Hyundai Santro Xing,115000,46000,Petrol
Hyundai Santro Xing,88000,43200,Petrol
Mahindra Xylo D2,390000,56000,Diesel
Hyundai Santro Xing,135000,42000,Petrol
Tata Indica V2,90000,30600,Diesel
Hyundai i10 Sportz,220000,38000,Petrol
Hyundai Grand i10,424999,2550,Petrol
Hyundai Santro Xing,135000,47000,Petrol
Honda City 1.5,95000,41000,Petrol
Nissan Micra XL,430000,62500,Diesel
Honda City 1.5,115000,68000,Petrol
Maruti Suzuki Alto,215000,50000,Petrol
Maruti Suzuki Wagon,53000,69000,Petrol
Maruti Suzuki Ertiga,500000,48000,Diesel
Tata Indica eV2,85000,55000,Diesel
Maruti Suzuki Omni,165000,25000,Petrol
Hyundai Eon Era,200000,28400,Petrol
Hyundai Eon,200000,28000,Petrol
Maruti Suzuki Swift,425000,42000,Diesel
Hyundai Verna 1.6,600000,29000,Diesel
Chevrolet Tavera LS,130000,68485,Diesel
Tata Tiago Revotron,430000,3500,Petrol
Tata Tiago Revotorq,568500,0,Petrol
Maruti Suzuki Zen,71000,32000,Petrol
Mahindra KUV100 K8,560000,8000,Diesel
Ford EcoSport Titanium,590000,34000,Diesel
Hindustan Motors Ambassador,750000,37000,Petrol
Ford Fusion 1.4,125000,85455,Diesel
Hyundai Santro Xing,135000,46000,Petrol
Hyundai Santro,60000,47000,Petrol
Fiat Linea Emotion,120000,64000,Petrol
Ford Ikon 1.3,95000,46000,Petrol
Maruti Suzuki Omni,240000,8000,Petrol
Tata Indica V2,115000,64000,Diesel
Mahindra Scorpio S4,795000,63000,Diesel
Hyundai Santro Xing,55000,65000,Petrol
Mahindra Xylo D2,300000,62000,Diesel
Hyundai Grand i10,320000,41000,Petrol
Maruti Suzuki Alto,265000,14000,Petrol
Toyota Corolla,160000,40000,Petrol
Hyundai Eon Magna,300000,1600,Petrol
Tata Sumo Grande,130000,90000,Diesel
Maruti Suzuki Swift,250000,58000,Diesel
Volkswagen Polo Highline1.2L,380000,27000,Petrol
Maruti Suzuki Alto,42000,60000,Petrol
Tata Tiago Revotron,400000,31000,Petrol
Maruti Suzuki Swift,120000,90000,Diesel
Maruti Suzuki Swift,120000,90000,Diesel
Tata Indigo eCS,130000,150000,Diesel
Chevrolet Beat LS,189000,31000,Diesel
Mahindra Xylo E8,365000,43000,Diesel
Hyundai Eon D,170000,20000,Petrol
Tata Sumo Gold,215000,100000,Petrol
Tata Nano,60000,7000,Petrol
Hyundai Elite i20,599999,31000,Petrol
Hyundai i10 Magna,400000,33000,Petrol
Hyundai Creta,900000,60000,Diesel
Volkswagen Polo,299999,48000,Diesel
Maruti Suzuki Dzire,374999,33000,Petrol
Tata Bolt XM,600000,15000,Petrol
Maruti Suzuki Alto,70000,47000,Petrol
Maruti Suzuki Alto,100000,40000,Petrol
Maruti Suzuki Ritz,150000,38000,Diesel
Maruti Suzuki Alto,225000,12500,Petrol
Maruti Suzuki Dzire,210000,42000,Petrol
Hyundai i20 Asta,425000,31000,Petrol
Maruti Suzuki Swift,162000,60000,Diesel
Tata Indica V2,60000,80000,Diesel
Mahindra Scorpio VLX,650000,77000,Diesel
Toyota Innova 2.5,750000,75000,Diesel
Mahindra Xylo E8,375000,40000,Diesel
Hyundai i20 Magna,230000,47000,Petrol
Maruti Suzuki Omni,35999,60000,Petrol
Mahindra KUV100,380000,26500,Petrol
Mahindra KUV100 K8,560000,2875,Petrol
Datsun Go Plus,285000,13900,Petrol
Ford Endeavor 4x4,2900000,9000,Diesel
Tata Indica V2,39999,80000,Diesel
Hyundai Santro Xing,85000,60000,Petrol
Maruti Suzuki Wagon,395000,20000,Petrol
Maruti Suzuki Swift,175000,58000,Diesel
Maruti Suzuki Alto,400000,1500,Petrol
Toyota Innova 2.5,750000,75000,Diesel
Maruti Suzuki Alto,250000,2450,Petrol
Maruti Suzuki Alto,425000,1625,Petrol
Volkswagen Polo Highline1.2L,525000,45000,Petrol
Mahindra Logan,130000,65000,Diesel
Maruti Suzuki 800,30000,33400,Petrol
Mahindra Scorpio,475000,60123,Diesel
Chevrolet Sail 1.2,300000,28000,Petrol
Hyundai Santro AE,60000,70000,Petrol
Maruti Suzuki Wagon,100000,7000,Petrol
Hyundai Eon,260000,25000,Petrol
Tata Manza,100000,100000,Diesel
Toyota Etios G,265000,42000,Petrol
Hyundai Getz Prime,115000,20000,Petrol
Toyota Qualis,180000,100000,Diesel
Hyundai Santro Xing,45000,137495,Petrol
Tata Indica eV2,50500,91200,Diesel
Honda City 1.5,270000,55000,Petrol
Tata Zest XE,290000,120000,Diesel
Mahindra Quanto C4,325000,63000,Diesel
Tata Indigo eCS,160000,104000,Diesel
Maruti Suzuki Swift,350000,146000,Diesel
Hyundai Elite i20,290000,40000,Petrol
Hyundai i20 Select,290000,40000,Petrol
Chevrolet Tavera Neo,465000,100800,Diesel
Maruti Suzuki Dzire,325000,150000,Diesel
Hyundai Elite i20,510000,2100,Petrol
Honda City VX,860000,95000,Petrol
Maruti Suzuki Dzire,450000,2500,Diesel
Hyundai Getz,125000,80000,Petrol
Mercedes Benz C,500001,15000,Petrol
Maruti Suzuki Alto,95000,65000,Petrol
Maruti Suzuki Swift,250000,51000,Diesel
Skoda Fabia,110000,45000,Petrol
Maruti Suzuki Ritz,270000,50000,Petrol
Tata Indica V2,110000,30000,Diesel
Toyota Corolla Altis,300000,132000,Petrol
Tata Zest XM,260000,27000,Diesel
Mahindra Quanto C8,390000,40000,Diesel
